task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	64/0fb247	34471	NFCORE_ONCOANALYSER:WGTS:PREPARE_REFERENCE:DECOMP_GRIDSS_INDEX (1)	COMPLETED	0	2025-07-07 08:00:03.283	9m 57s	9m 52s	20.7%	3.3 MB	11.1 MB	18.8 GB	23.2 GB
2	55/71773c	34454	NFCORE_ONCOANALYSER:WGTS:PREPARE_REFERENCE:DECOMP_HMF_DATA (1)	COMPLETED	0	2025-07-07 08:00:03.247	11m 32s	11m 26s	17.3%	3.3 MB	11.1 MB	17.8 GB	23.2 GB
3	13/c97e9c	34557	NFCORE_ONCOANALYSER:WGTS:PREPARE_REFERENCE:DECOMP_BWAMEM2_INDEX (1)	COMPLETED	0	2025-07-07 08:00:03.375	11m 50s	11m 47s	23.8%	3.3 MB	11.1 MB	24.9 GB	33 GB
6	51/7f7bb5	28461	NFCORE_ONCOANALYSER:WGTS:READ_ALIGNMENT_DNA:BWAMEM2_ALIGN (subject_a_subject_a.tumor)	COMPLETED	0	2025-07-07 08:12:04.327	7m 28s	7m 7s	21.0%	17.4 GB	27.5 GB	16.8 GB	348.8 MB
5	c2/bef5ed	28496	NFCORE_ONCOANALYSER:WGTS:READ_ALIGNMENT_DNA:BWAMEM2_ALIGN (subject_a_subject_a.normal)	COMPLETED	0	2025-07-07 08:12:05.325	7m 27s	7m 7s	20.9%	17.4 GB	26.7 GB	16.8 GB	349.8 MB
8	6c/879a47	59450	NFCORE_ONCOANALYSER:WGTS:REDUX_PROCESSING:REDUX (subject_a_subject_a.tumor)	COMPLETED	0	2025-07-07 08:19:46.432	2m 3s	46s	157.7%	5.1 GB	37.2 GB	104.2 MB	32.6 MB
7	f4/e6f850	59411	NFCORE_ONCOANALYSER:WGTS:REDUX_PROCESSING:REDUX (subject_a_subject_a.normal)	COMPLETED	0	2025-07-07 08:19:45.350	2m 4s	46s	166.9%	3.9 GB	37.3 GB	104.8 MB	32.6 MB
4	96/1d7983	34510	NFCORE_ONCOANALYSER:WGTS:PREPARE_REFERENCE:DECOMP_STAR_INDEX (1)	COMPLETED	0	2025-07-07 08:00:03.314	22m 22s	22m 20s	17.3%	3.5 MB	11.1 MB	54.2 GB	57.2 GB
14	53/e487cf	1837	NFCORE_ONCOANALYSER:WGTS:TEAL_CHARACTERISATION:TEAL_PREP (subject_a)	COMPLETED	0	2025-07-07 08:21:50.775	2m 18s	4s	507.3%	669.2 MB	34.8 GB	53.9 MB	1003.1 KB
9	b6/2d082c	1846	NFCORE_ONCOANALYSER:WGTS:CIDER_CALLING:CIDER (subject_a_subject_a.tumor)	COMPLETED	0	2025-07-07 08:21:51.061	3m 15s	2s	267.7%	95.1 MB	26.6 GB	14.3 MB	42.4 KB
16	c5/0a3d94	2963	NFCORE_ONCOANALYSER:WGTS:AMBER_PROFILING:AMBER (subject_a)	COMPLETED	0	2025-07-07 08:22:25.093	3m 57s	15s	274.1%	3.9 GB	30.9 GB	109.4 MB	33.4 KB
12	84/87f806	12151	NFCORE_ONCOANALYSER:WGTS:BAMTOOLS_METRICS:BAMTOOLS (subject_a_subject_a.normal)	COMPLETED	0	2025-07-07 08:26:22.293	1m 14s	16s	448.3%	2.8 GB	27.6 GB	34.6 MB	149.7 KB
