FragmentLength	Count
455	1
457	1
458	1
459	1
460	4
461	3
462	11
463	14
464	16
465	23
466	31
467	47
468	61
469	71
470	103
471	157
472	182
473	235
474	318
475	417
476	497
477	665
478	853
479	972
480	1240
481	1374
482	1701
483	2080
484	2411
485	2774
486	3216
487	3605
488	4079
489	4527
490	5065
491	5468
492	6056
493	6451
494	6933
495	7308
496	7624
497	7854
498	7889
499	8099
500	8180
501	8219
502	7999
503	7762
504	7394
505	7280
506	6850
507	6376
508	5985
509	5470
510	4989
511	4554
512	3993
513	3580
514	3160
515	2718
516	2423
517	1997
518	1660
519	1456
520	1177
521	957
522	843
523	695
524	523
525	427
526	341
527	249
528	193
529	164
530	113
531	59
532	58
533	44
534	35
535	25
536	16
537	9
538	10
539	2
540	1
541	6
542	2
543	1
548	1
