FragmentLength	Count
390	1
398	1
399	1
406	1
410	1
421	1
428	1
429	1
433	1
435	1
437	1
441	1
445	1
448	2
455	1
457	1
458	4
459	2
460	3
461	4
462	11
463	17
464	21
465	22
466	28
467	48
468	62
469	72
470	104
471	156
472	186
473	245
474	299
475	428
476	495
477	654
478	843
479	982
480	1238
481	1393
482	1755
483	2043
484	2416
485	2835
486	3193
487	3665
488	4044
489	4512
490	5081
491	5467
492	6028
493	6491
494	6940
495	7313
496	7622
497	7912
498	7973
499	8138
500	8204
501	8223
502	8018
503	7817
504	7382
505	7301
506	6844
507	6386
508	6009
509	5471
510	5071
511	4495
512	3997
513	3620
514	3188
515	2732
516	2434
517	2024
518	1646
519	1438
520	1173
521	929
522	827
523	690
524	526
525	426
526	320
527	237
528	200
529	163
530	117
531	62
532	54
533	36
534	34
535	22
536	14
537	7
538	8
539	1
540	1
541	5
542	2
543	1
548	1
