sample_id	data_type	clf_group	clf_name	feat_name	feat_value	cancer_type	data_value	rank	rank_group
subject_a.tumor	prob	combined	combined			Anogenital	0.0038444697085339126	20	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: Cartilaginous neoplasm		34	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: GIST	0.08837115736282801	4	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: Leiomyosarcoma	0.0038444697085339126	21	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: Liposarcoma	0.0038444697085339126	22	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: Osteosarcoma		35	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: Undiff. sarcoma	0.012656461804265176	14	0
subject_a.tumor	prob	combined	combined			Bone/Soft tissue: Other	0.08869991171765883	3	0
subject_a.tumor	prob	combined	combined			Breast: Triple negative	0.0038444697085339126	23	0
subject_a.tumor	prob	combined	combined			Breast: Other	0.30782631023011425	1	0
subject_a.tumor	prob	combined	combined			CNS: Glioma	0.06772396875504695	6	0
subject_a.tumor	prob	combined	combined			CNS: Medulloblastoma		36	0
subject_a.tumor	prob	combined	combined			CNS: Pilocytic astrocytoma		37	0
subject_a.tumor	prob	combined	combined			Colorectum/Small intestine/Appendix	0.08323712991965586	5	0
subject_a.tumor	prob	combined	combined			Esophagus/Stomach	0.00756197808260325	16	0
subject_a.tumor	prob	combined	combined			Gynecologic: Endometrium	0.0038444697085339126	24	0
subject_a.tumor	prob	combined	combined			Gynecologic: Ovary/Fallopian tube	0.0583231562610844	7	0
subject_a.tumor	prob	combined	combined			HPB: Bile duct/Gallbladder	0.006481344764935462	17	0
subject_a.tumor	prob	combined	combined			HPB: Liver	0.00830482940422571	15	0
subject_a.tumor	prob	combined	combined			HPB: Pancreas	0.020905274841626968	9	0
subject_a.tumor	prob	combined	combined			Head and neck: Adenoid cystic	0.0038444697085339126	25	0
subject_a.tumor	prob	combined	combined			Head and neck: Salivary gland	0.0038444697085339126	26	0
subject_a.tumor	prob	combined	combined			Head and neck: Other	0.013858835943237448	13	0
subject_a.tumor	prob	combined	combined			Kidney: Chromophobe		38	0
subject_a.tumor	prob	combined	combined			Kidney: Other	0.015564404561175992	11	0
subject_a.tumor	prob	combined	combined			Lung: Non-small cell: LUAD	0.016851910399995732	10	0
subject_a.tumor	prob	combined	combined			Lung: Non-small cell: LUSC	0.0038444697085339126	27	0
subject_a.tumor	prob	combined	combined			Lung: Small cell	0.0038444697085339126	28	0
subject_a.tumor	prob	combined	combined			Lymphoid tissue	0.0930058134691311	2	0
subject_a.tumor	prob	combined	combined			Mesothelium	0.0038444697085339126	29	0
subject_a.tumor	prob	combined	combined			Myeloid: Acute myeloid leukemia		39	0
subject_a.tumor	prob	combined	combined			Myeloid: Myeloproliferative neoplasm		40	0
subject_a.tumor	prob	combined	combined			NET: Colorectum/Small intestine	0.0038444697085339126	30	0
subject_a.tumor	prob	combined	combined			NET: Lung	0.004475716132105086	19	0
subject_a.tumor	prob	combined	combined			NET: Pancreas	0.032361152146124145	8	0
subject_a.tumor	prob	combined	combined			Prostate	0.0038444697085339126	31	0
subject_a.tumor	prob	combined	combined			Skin: Melanoma	0.01460924655240607	12	0
subject_a.tumor	prob	combined	combined			Skin: Other	0.0038444697085339126	32	0
subject_a.tumor	prob	combined	combined			Thyroid gland	0.0038444697085339126	33	0
subject_a.tumor	prob	combined	combined			Urothelial tract	0.005358821732304789	18	0
subject_a.tumor	prob	dna	dna_combined			Anogenital	0.0034668400980118917	17	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: Cartilaginous neoplasm	0.01367613271217783	13	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: GIST	0.0	19	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: Leiomyosarcoma	0.0	20	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: Liposarcoma	0.0	21	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: Osteosarcoma	0.0	22	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: Undiff. sarcoma	0.0	23	1
subject_a.tumor	prob	dna	dna_combined			Bone/Soft tissue: Other	0.08167457867366545	4	1
subject_a.tumor	prob	dna	dna_combined			Breast: Triple negative	0.0	24	1
