chromosome	startPosition	endPosition	snpCount	homCount	hetCount	filter
2	5816833	61720399	70	63	7	maxHetProportion
3	53220666	65596462	50	45	5	maxHetProportion
4	56022677	112230576	79	70	9	maxHetProportion
5	57560858	116172472	78	71	7	maxHetProportion
5	116172609	118091624	55	50	5	minLength;maxHetProportion
6	24860333	52159860	589	564	25	PASS
7	142803972	148031431	54	49	5	maxHetProportion
7	149325051	158837918	55	50	5	maxHetProportion
8	56118842	114803966	104	95	9	maxHetProportion
8	114910153	125765229	51	46	5	maxHetProportion
9	8274966	21771242	64	59	5	maxHetProportion
9	76728410	87053591	107	98	9	maxHetProportion
11	13543746	39841714	56	52	4	maxHetProportion
12	26099426	31082461	104	94	10	maxHetProportion
13	22876215	29921831	89	80	9	maxHetProportion
16	1801926	7280773	169	156	13	maxHetProportion
16	7463883	28817513	70	63	7	maxHetProportion
16	76474488	88199721	58	54	4	maxHetProportion
19	1641642	9199302	118	106	12	maxHetProportion
19	46436230	56625740	51	46	5	maxHetProportion
20	11396325	23711973	69	63	6	maxHetProportion
20	41272642	54319261	50	45	5	maxHetProportion
20	54319673	63895448	56	53	3	maxHetProportion
21	33131401	46385748	54	49	5	maxHetProportion
