GeneId,GeneName,Chromosome,GeneLength,IntronicLength,TranscriptCount,GeneSetId,SplicedFragments,UnsplicedFragments,AdjTPM,RawTPM,FitResiduals,LowMapQualFrags
ENSG00000206906,RNU6-458P,chr14,106,0,1,chr14_0,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000257356,BNIP3P6,chr14,498,0,1,chr14_1,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000257115,OR11H12,chr14,980,0,1,chr14_2,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258233,ARHGAP42P5,chr14,2935,0,1,chr14_3,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000257504,LINC02297,chr14,3316,1826,1,chr14_4,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000239200,RPL22P20,chr14,376,0,1,chr14_5,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000277529,NF1P10,chr14,3165,2428,1,chr14_6,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000277367,NEK2P1,chr14,1340,0,1,chr14_7,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000278143,NF1P7,chr14,9731,8212,1,chr14_8,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000257853,MED15P1,chr14,3837,2939,1,chr14_9,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000222036,POTEM,chr14,36318,29360,3,chr14_10,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000212612,RNU6-1239P,chr14,106,0,1,chr14_10,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000274369,GRAMD4P4,chr14,1668,555,1,chr14_11,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000225210,DUXAP9,chr14,613,0,1,chr14_12,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000277710,NBEAP5,chr14,24453,23764,1,chr14_13,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000196143,OR11H13P,chr14,978,0,1,chr14_14,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258781,CDRT15P13,chr14,1047,0,1,chr14_15,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000285990,NBEAP6,chr14,24476,23833,1,chr14_16,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000277156,TOMM40P1,chr14,1049,0,1,chr14_16,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000228294,BMS1P17,chr14,659,345,1,chr14_17,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000274827,LINC01297,chr14,40009,35601,2,chr14_18,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000278301,GRAMD4P3,chr14,1668,0,1,chr14_18,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000187537,POTEG,chr14,31855,29359,3,chr14_19,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000212516,RNU6-1268P,chr14,106,0,1,chr14_19,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000257162,MED15P6,chr14,3812,3033,1,chr14_20,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258027,NF1P4,chr14,9459,7789,1,chr14_21,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000278184,NF1P11,chr14,7299,6025,1,chr14_22,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258080,ARHGAP42P4,chr14,2933,0,1,chr14_23,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258453,OR11H2,chr14,947,0,1,chr14_24,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000176294,OR4N2,chr14,111238,107545,4,chr14_25,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258438,OR11K2P,chr14,947,0,1,chr14_25,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000182652,OR4Q3,chr14,5898,3735,1,chr14_25,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000176312,OR4H12P,chr14,906,0,1,chr14_25,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000176299,OR4M1,chr14,10192,6649,4,chr14_25,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258564,OR4N1P,chr14,948,0,1,chr14_25,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000228304,OR4K6P,chr14,896,0,1,chr14_26,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000176290,OR4K3,chr14,946,0,1,chr14_27,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000165762,OR4K2,chr14,8790,98,4,chr14_28,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258541,OR4K4P,chr14,683,0,1,chr14_29,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000176281,OR4K5,chr14,971,0,1,chr14_30,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000155249,OR4K1,chr14,5840,4318,3,chr14_31,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000258822,OR4K16P,chr14,968,0,1,chr14_32,0,0,0.000e+00,0.000e+00,0.0,0.0
ENSG00000169488,OR4K15,chr14,974,0,1,chr14_33,0,0,0.000e+00,0.000e+00,0.0,0.0
