GeneSetId,GeneCount,Chromosome,RangeStart,RangeEnd,TotalFragments,Duplicates,SupportingTrans,Unspliced,AltSJ,Chimeric,LowMapQual,ForwardStrand,ReverseStrand,Genes
chr2_0,1,chr2,38814,46870,0,0,0,0,0,0,0,0,0,FAM110C
chr3_0,1,chr3,11745,24849,0,0,0,0,0,0,0,0,0,LINC01986
chr22_0,1,chr22,10939388,10961338,0,0,0,0,0,0,0,0,0,FRG1FP
chr14_0,1,chr14,18343038,18343144,0,0,0,0,0,0,0,0,0,RNU6-458P
chr14_1,1,chr14,18418775,18419273,0,0,0,0,0,0,0,0,0,BNIP3P6
chr22_1,1,chr22,11124337,11125705,0,0,0,0,0,0,0,0,0,ACTR3BP7
chr3_1,5,chr3,109707,409417,0,0,0,0,0,0,0,0,0,CHL1-AS2;CHL1;RNU6-1194P;RPS8P6;CHL1-AS1
chr2_1,2,chr2,217730,278283,0,0,0,0,0,0,0,0,0,SH3YL1;ACP1
chr22_2,1,chr22,12602466,12626642,0,0,0,0,0,0,0,0,0,FRG1GP
chr14_2,1,chr14,18601117,18602097,0,0,0,0,0,0,0,0,0,OR11H12
chr2_2,1,chr2,279558,288851,0,0,0,0,0,0,0,0,0,ALKAL2
chr3_2,2,chr3,536062,846561,0,0,0,0,0,0,0,0,0,LINC01266;RPSAP32
chr14_3,1,chr14,18623852,18626787,0,0,0,0,0,0,0,0,0,ARHGAP42P5
chr22_3,1,chr22,15326037,15343065,0,0,0,0,0,0,0,0,0,ZNF72P
chr2_3,1,chr2,317912,342118,0,0,0,0,0,0,0,0,0,LINC01865
chr3_3,1,chr3,1065580,1065875,0,0,0,0,0,0,0,0,0,RN7SL120P
chr14_4,1,chr14,18630318,18633634,0,0,0,0,0,0,0,0,0,LINC02297
chr22_4,1,chr22,15349467,15350043,0,0,0,0,0,0,0,0,0,BNIP3P2
chr2_4,1,chr2,490944,503905,0,0,0,0,0,0,0,0,0,LINC01874
chr3_4,2,chr3,1092658,1404217,0,0,0,0,0,0,0,0,0,CNTN6;CRB3P1
chr14_5,1,chr14,18692032,18692408,0,0,0,0,0,0,0,0,0,RPL22P20
chr22_5,1,chr22,15489990,15492564,0,0,0,0,0,0,0,0,0,YME1L1P1
chr2_5,1,chr2,545805,546667,0,0,0,0,0,0,0,0,0,LINC01875
chr3_5,1,chr3,1595777,1596245,0,0,0,0,0,0,0,0,0,RPL23AP38
chr14_6,1,chr14,18709478,18712643,0,0,0,0,0,0,0,0,0,NF1P10
chr22_6,1,chr22,15528192,15529139,0,0,0,0,0,0,0,0,0,OR11H1
chr2_6,2,chr2,663877,697382,0,0,0,0,0,0,0,0,0,TMEM18;TMEM18-DT
chr3_6,1,chr3,1730070,1730474,0,0,0,0,0,0,0,0,0,RPL23AP39
chr14_7,1,chr14,18889084,18890424,0,0,0,0,0,0,0,0,0,NEK2P1
chr22_7,1,chr22,15550904,15553838,0,0,0,0,0,0,0,0,0,ARHGAP42P3
chr2_7,1,chr2,779840,868608,0,0,0,0,0,0,0,0,0,LINC01115
chr3_7,1,chr3,1905651,1906125,0,0,0,0,0,0,0,0,0,RPL21P17
chr14_8,1,chr14,18899942,18909673,0,0,0,0,0,0,0,0,0,NF1P7
chr22_8,1,chr22,15611759,15613096,0,0,0,0,0,0,0,0,0,NEK2P2
chr2_8,1,chr2,899462,905539,0,0,0,0,0,0,0,0,0,LINC01939
chr3_8,1,chr3,2088933,2089211,0,0,0,0,0,0,0,0,0,RN7SKP144
chr14_9,1,chr14,18912805,18916642,0,0,0,0,0,0,0,0,0,MED15P1
chr22_9,1,chr22,15622601,15632051,0,0,0,0,0,0,0,0,0,NF1P6
chr2_9,2,chr2,949257,1367613,0,0,0,0,0,0,0,0,0,SNTG2-AS1;SNTG2
chr3_9,6,chr3,2098813,3126613,0,0,0,0,0,0,0,0,0,CNTN4;CNTN4-AS2;HINT2P1;DNAJC19P4;CNTN4-AS1;IL5RA
chr22_10,1,chr22,15635180,15644330,0,0,0,0,0,0,0,0,0,MED15P7
chr14_10,2,chr14,18967434,19003752,0,0,0,0,0,0,0,0,0,POTEM;RNU6-1239P
chr2_10,1,chr2,1374066,1543711,0,0,0,0,0,0,0,0,0,TPO
chr3_10,2,chr3,3126933,3179727,0,0,0,0,0,0,0,0,0,TRNT1;CRBN
chr14_11,1,chr14,19026521,19028189,0,0,0,0,0,0,0,0,0,GRAMD4P4
chr22_11,3,chr22,15690026,15721631,0,0,0,0,0,0,0,0,0,POTEH;POTEH-AS1;RNU6-816P
chr2_11,1,chr2,1631887,1744852,0,0,0,0,0,0,0,0,0,PXDN
chr3_11,5,chr3,3700814,4467273,0,0,0,0,0,0,0,0,0,SUMF1;LRRN1;PNPT1P1;SETMAR;MRPS10P2
